cod_municipio,ano,item1_mde,item1_fundeb,item1_mde,item1_fundeb,item3e4_mde_edu_inf,item3e4_fundeb_pag_mag,item3e4_mde_edu_fun,item3e4_fundeb_pag_mag,item3e4_fundeb_pag_mag,dedu_const,item_perc_certi
5200050,2015,"18148327,79","3529090,42","14619237,37","5715251,09","309307,68","7961589,83","8270897,51","3989863,13","1753479,02","3509095,83","26,24"
5200100,2015,"21496216,28","2954754,39","18541461,89","4224619,35","284909,7","6423872,16","6708781,86","3298089,53","1284344,81","1820621,92","22,74"
5200134,2015,"33818905,1","5270787,45","28548117,65","7440298,32","164578,62","12670301,08","12834879,7","6327925,62","1744317,55","2726180,4","29,89"
5200159,2015,"8966519,73","222709,38","8743810,35","670965,96","176846,07","1445427,41","1622273,48","517168,74","222620,05","-861763,33","27,7"
5200175,2015,"13856361,82","928640,26","12927721,56","2175738,61",0,"3670340,47","3670340,47","1435115,6","785085,79","-208642,62","27,99"
5200209,2015,"11540444,54","310112,71","11230331,83","603006,68","128437,64","2035640,27","2164077,91","606101,6","31280,73","-1316035,25","30,16"
5200258,2015,"102624223,46","28038538,68","74585684,78","70554919,88","203203,43","83899662,32","84102865,75","49003134,18","22177196,8","60303933,05","23,19"
5200308,2015,"34953501,13","6542194,67","28411306,46","11383548,56","190250,93","16618082,46","16808333,39","9613672,55","1735445,76","7000638,46","28,06"
5200506,2015,"9470133,73","321543,48","9148590,25","147474,54",0,"1099435,03","1099435,03","147679,71",0,"-1333263,92","25,69"
5200555,2015,"48020196,3","6375060,14","41645136,16","4191691,28",0,"10789743,37","10789743,37","3722280,79","340604,93","-3127106,64","28,98"
5200605,2015,"14471647,58","2247430,71","12224216,87","3356345,14",0,"5297031,06","5297031,06","2848127,88","664122,53","1141623,12","28,71"
5200803,2015,"12894539,02","840598,72","12053940,3","4707637,03","31250,6","5562995,93","5594246,53","3083661,27","1454376,64","2725073,69","22,25"
5200829,2015,"9947162,05","341720,21","9605441,84","1286759,98",0,"2499838,96","2499838,96","942128,3","380450,93","-501492,47","30,17"
5200852,2015,"10796716,11","388102,17","10408613,94","1687757,74",0,"2738414,79","2738414,79","1031129,38","734819,2","-67202,45","25,99"
5200902,2015,"10150335,91","545229,97","9605105,94","626184,07","4166,2","1976587,33","1980753,53","612513,2","42168,25","-919878,96","28,58"
