cod_municipio,ano,item1_mde,item1_fundeb,itens3e4_mde_edu_inf,itens3e4_mde_edu_fun,itens3e4_fundeb_pag_mag,itens3e4_fundeb_outras_desp,dedu_const,item2_perc_cert
5200050,2016,"18395743,58","6520168,76","91732,03","8366181,07","4235082,61","2185746,06","3940296,86","24,56"
5200100,2016,"25690349,31","4618016,87","473489,1","6875714,6","3825847,3","696372,61","1002162,26","24,71"
5200134,2016,"36265913,32","8257865,7","365560,53","12930166,06","6380469,61","1427262,98","2558393,2","29,61"
5200159,2016,"10213489,38","783632,1","347832,71","1551685,82","530434,07","319448,24","-812328,26","26,55"
5200175,2016,"15613373,2","2208008,39",0,"4053187,41","1506743,07","718560,48","-329214,53","28,07"
5200209,2016,"12678039,73","776745,7","93433,6","2492122,3","791393,67","18601,02","-1436545,6","31,72"
5200258,2016,"117505721,04","77427403,32","17208821,27","79914750,84","58299908,63","19516408,57","64182429,5","28,03"
5200308,2016,"41623054,28","11964329,43","120888,74","18187682,3","10390528,71","1785677,39","6011334,01","29,54"
5200506,2016,"10143023,61","131229,78",0,"1009616,36","128880,56",0,"-1625086,35","25,98"
5200555,2016,1,1,1,1,1,1,1,1
5200605,2016,"15294716,75",3572292,0,"5162558,89","2417258,06","1121892,7","1087443,92","26,64"
5200803,2016,"14491081,55","4662971,27","25914,97","6136570,33","3710924,73","1186385,54","2446355,8","25,64"
5200829,2016,"11393609,34","1569352,64","13,5","2778193,27","983970,19","543260,61","-476958,05","28,57"
5200852,2016,"11114076,16","1775645,11",0,"2875719,8","1055924,66","691610,13","-141317,87","27,15"
5200902,2016,"13181752,75","654354,7","1652,8","2521315,86","654354,7","99553,89","-1415209,54","29,88"
5201108,2016,"522648467,38","121210642,58","46427352,41","169925051,15","116185206,31","6496534,43","56460832,37","30,59"
5201207,2016,"9576493,48","362051,38",0,"1453891,26","339141,86","13878,25","-1228545,87","28,01"
5201306,2016,"29727279,69","5555476,51","431127,44","8944850,13","4275674,48","1395933,68","938008,13","28,38"
5201405,2016,0,0,0,0,0,0,0,0
5201454,2016,"14778281,23","2100061,32","376844,27","2641900,86","1706490,71","260124,05","-466924,16","23,59"
5201504,2016,"22804218,35","2292797,34","303619,87","6641772,71","1714261,85","757417,83","-760230,62","33,79"
5201603,2016,"10515851,61","789424,21",0,"1604235,71","578360,6","262431,33","-1059049,54","25,33"
5201702,2016,"22404823,81","7208670,62","326693,08","9666551,37","5092824,41","2013164,5","3466664,69","29,13"
5201801,2016,"13251847,38","3847761,56",0,"5633424,82","2732791,8","1189935,82","2120238,71","26,51"
5202155,2016,"13403170,27","2679835,97",0,"4072165,62","2248556,49","421578,42","314007,32","28,04"
5202353,2016,"13356843,2","1505132,25",0,"3494671,91","1225341,44","364125,9","-638022,21","30,94"
5202502,2016,"18788296,75","3540677,15","65812,1","5905692,42","2183746,57","1298483,19","720660,71","27,95"
5202601,2016,"10958692,51","833507,71","119672,06","1671450,72","646171,3","231028,38","-1187111,97","27,18"
5202809,2016,"10787085,39","1694904,67","394457,4","2159135,05","1565644,11","136117,2","-270413,79","26,18"
5203104,2016,"10414816,74","964350,93","163,45","3102609,42","952697,52",0,"-740078,24","36,9"
5203203,2016,"37867942,82","5824348,91",0,"16083237,39","5224111,77","576729,26","2362374,03","36,23"
5203302,2016,"52941635,2","7424184,96","35683,07","12771958,59","6012673,71","1373282,46","-729957,02","25,57"
5203401,2016,"14163792,82","2476890,73","24496,58","3781003,35","2113469,39","314749,91","-7588,46","26,92"
5203500,2016,"38371383,35","12581560,04","423,2","15410784,29","10771227,2","2912055,99","7255985,17","21,25"
5203559,2016,"11301884,33","3305283,26","24110,46","4211491,1","2548597,13","867145,29","1546150,42","23,8"
5203575,2016,"14261129,12","1253943,99",0,"3552296,83","1118654,73",246,"-1336376,49","34,28"
5203609,2016,"10880654,86","1061384,83",0,"2163922,5","691960,72","353552,15","-762861,06","26,9"
5203807,2016,"15285267,96","2404084,6","23894,42","3416661,06","1483447,5","596383,08","-388624,94","25,05"
5203906,2016,"20054741,72","3330803,96","225104,57","6897818,71","2778258,91","583251,83","655739,03","32,25"
5203939,2016,"12460546,73","844888,12",0,"2110033,33","541849,67","285308,4","-1254454,2",27
5203962,2016,"11416911,62","1316526,01",0,"2571209,46","1301898,94","76663,03","-604563,7","27,82"
5204003,2016,"14703041,29","3301555,5",0,"6238780,45","3301555,5","259680,6","571697,49","38,54"
5204102,2016,"21603032,72","4121824,33","1444053,96","6237195,72","2528289,07","1542698,41","1109202,87","30,42"
5204201,2016,"34279256,62","5044691,21","1573567,08","10279821,73","4190205,01",0,"-605349,78","36,34"
5204250,2016,"10280718,36","370127,46","21855,61","1096470,83","307910,93","64212,38","-1496444,36","25,43"
5204300,2016,"41182779,01","5855747,18","735042,7","12412137,26","4700142,21","1239423,44","332509,42","31,12"
5204409,2016,"39771401,14","5034850,38","988641,89","10719888,27","4935003,16",3800,"-1322935,61","32,77"
5204508,2016,"100996048,86","33414153,38","19740947,06","30839721,28","33406224,45",8799284,"30582636,43","19,8"
5204557,2016,"10281151,27","1316253,23",0,"3287535,45","1316253,23",0,"-561858,76","37,44"
5204607,2016,"10019814,51","2208597,48","3958,92","3128200,24","1949767,61","195553,77","298127,52","28,28"
5204656,2016,"11211637,4","2191670,45","37458,74","3177635,02","1735093,76","440157,97","226601,01","26,66"
5204706,2016,"17151364,57","3927374,73",0,"5617205,81","2948399,59","931540,14","1153596,02","26,02"
5204805,2016,"23415994,45","3390612,13","246522,46","6736200,38","3371406,98","594186,68","546804,31","27,49"
5204854,2016,"13043176,61","3932249,48","72157,89","6099059,94","2710603,52","1206608,9","1726958,9","34,07"
5204904,2016,"23478190,65","11508139,92","44190,18","15354218,1","9253085,71","3013802,42","9057545,69","27,01"
5204953,2016,"10895596,34","2089713,75","34,4","3134936,34","1512959,74","577060,14","293425,01","26,08"
5205000,2016,"15615056,94","3240358,67",0,"5957020,68","3346154,54","538349,72","1147074,06","30,8"
5205059,2016,"11535112,12","1460698,69",0,"2631768,07","1533709,33",466,"-479028,45","26,97"
