cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
520005,2014,1,N,7,0,0,7,1,0,0
520010,2014,1,S,21,2,0,23,0.9130434783,0.0869565217,0
520013,2014,1,S,6,1,0,7,0.8571428571,0.1428571429,0
520015,2014,1,N,3,0,1,4,0.75,0,0.25
520017,2014,1,S,14,3,0,17,0.8235294118,0.1764705882,0
520020,2014,1,N,8,0,0,8,1,0,0
520025,2014,1,N,20,0,0,20,1,0,0
520030,2014,1,S,8,2,1,11,0.7272727273,0.1818181818,0.0909090909
520050,2014,1,S,5,0,0,5,1,0,0
520055,2014,1,N,6,1,0,7,0.8571428571,0.1428571429,0
520060,2014,1,N,8,1,0,9,0.8888888889,0.1111111111,0
520080,2014,1,N,4,1,1,6,0.6666666667,0.1666666667,0.1666666667
520082,2014,1,N,2,1,0,3,0.6666666667,0.3333333333,0
520085,2014,1,N,9,0,1,10,0.9,0,0.1
520090,2014,1,S,5,1,0,6,0.8333333333,0.1666666667,0
520110,2014,1,N,29,0,0,29,1,0,0
520120,2014,1,N,3,0,0,3,1,0,0
520130,2014,1,N,22,0,0,22,1,0,0
520140,2014,1,N,2,0,1,3,0.6666666667,0,0.3333333333
520145,2014,1,S,10,0,0,10,1,0,0
520150,2014,1,N,7,2,1,10,0.7,0.2,0.1
520160,2014,1,S,5,2,1,8,625,0.25,125
520170,2014,1,S,7,0,0,7,1,0,0
520180,2014,1,N,0,0,7,7,0,0,1
520215,2014,1,S,13,0,0,13,1,0,0
520235,2014,1,S,0,2,4,6,0,0.3333333333,0.6666666667
520250,2014,1,S,1,8,0,9,0.1111111111,0.8888888889,0
520260,2014,1,N,6,0,0,6,1,0,0
520280,2014,1,S,7,0,0,7,1,0,0
520310,2014,1,S,5,0,1,6,0.8333333333,0,0.1666666667
520320,2014,1,S,23,0,1,24,0.9583333333,0,0.0416666667
520330,2014,1,NA,0,0,0,0,-1,-1,-1
520340,2014,1,S,1,3,0,4,0.25,0.75,0
520350,2014,1,S,16,0,1,17,0.9411764706,0,0.0588235294
520355,2014,1,S,3,0,3,6,0.5,0,0.5
520357,2014,1,NA,0,0,0,0,-1,-1,-1
520360,2014,1,N,2,2,0,4,0.5,0.5,0
520380,2014,1,S,7,0,0,7,1,0,0
520390,2014,1,N,15,2,5,22,0.6818181818,0.0909090909,0.2272727273
520393,2014,1,N,7,0,0,7,1,0,0
520396,2014,1,N,1,0,1,2,0.5,0,0.5
520400,2014,1,S,7,0,3,10,0.7,0,0.3
520410,2014,1,N,13,1,1,15,0.8666666667,0.0666666667,0.0666666667
520420,2014,1,N,3,4,0,7,0.4285714286,0.5714285714,0
520425,2014,1,S,12,2,0,14,0.8571428571,0.1428571429,0
520430,2014,1,S,26,0,0,26,1,0,0
520440,2014,1,N,21,2,1,24,875,0.0833333333,0.0416666667
520450,2014,1,N,16,0,0,16,1,0,0
520455,2014,1,N,7,1,0,8,875,125,0
520460,2014,1,S,5,2,2,9,0.5555555556,0.2222222222,0.2222222222
520465,2014,1,S,4,7,2,13,0.3076923077,0.5384615385,0.1538461538
520470,2014,1,N,3,2,6,11,0.2727272727,0.1818181818,0.5454545455
520480,2014,1,N,11,0,0,11,1,0,0
520485,2014,1,N,3,2,1,6,0.5,0.3333333333,0.1666666667
520490,2014,1,NA,0,0,0,0,-1,-1,-1
520495,2014,1,N,2,0,4,6,0.3333333333,0,0.6666666667
520500,2014,1,S,4,3,6,13,0.3076923077,0.2307692308,0.4615384615
520505,2014,1,N,5,0,1,6,0.8333333333,0,0.1666666667
520510,2014,1,S,48,0,3,51,0.9411764706,0,0.0588235294
520520,2014,1,S,5,3,1,9,0.5555555556,0.3333333333,0.1111111111
520530,2014,1,NA,0,0,0,0,-1,-1,-1
520540,2014,1,N,12,0,1,13,0.9230769231,0,0.0769230769
