ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2014,1,N,7,0,0,7,100,0,0,5200050
2014,1,S,21,2,0,23,91.304347826087,8.69565217391304,0,5200100
2014,1,S,6,1,0,7,85.7142857142857,14.2857142857143,0,5200134
2014,1,N,3,0,1,4,75,0,25,5200159
2014,1,S,14,3,0,17,82.3529411764706,17.6470588235294,0,5200175
2014,1,N,8,0,0,8,100,0,0,5200209
2014,1,N,20,0,0,20,100,0,0,5200258
2014,1,S,8,2,1,11,72.7272727272727,18.1818181818182,9.09090909090909,5200308
2014,1,S,5,0,0,5,100,0,0,5200506
2014,1,N,6,1,0,7,85.7142857142857,14.2857142857143,0,5200555
2014,1,N,8,1,0,9,88.8888888888889,11.1111111111111,0,5200605
2014,1,N,4,1,1,6,66.6666666666667,16.6666666666667,16.6666666666667,5200803
2014,1,N,2,1,0,3,66.6666666666667,33.3333333333333,0,5200829
2014,1,N,9,0,1,10,90,0,10,5200852
2014,1,S,5,1,0,6,83.3333333333333,16.6666666666667,0,5200902
2014,1,N,29,0,0,29,100,0,0,5201108
2014,1,N,3,0,0,3,100,0,0,5201207
2014,1,N,22,0,0,22,100,0,0,5201306
2014,1,N,2,0,1,3,66.6666666666667,0,33.3333333333333,5201405
2014,1,S,10,0,0,10,100,0,0,5201454
2014,1,N,7,2,1,10,70,20,10,5201504
2014,1,S,5,2,1,8,62.5,25,12.5,5201603
2014,1,S,7,0,0,7,100,0,0,5201702
2014,1,N,0,0,7,7,0,0,100,5201801
2014,1,S,13,0,0,13,100,0,0,5202155
2014,1,S,0,2,4,6,0,33.3333333333333,66.6666666666667,5202353
2014,1,S,1,8,0,9,11.1111111111111,88.8888888888889,0,5202502
2014,1,N,6,0,0,6,100,0,0,5202601
2014,1,S,7,0,0,7,100,0,0,5202809
2014,1,S,5,0,1,6,83.3333333333333,0,16.6666666666667,5203104
2014,1,S,23,0,1,24,95.8333333333333,0,4.16666666666667,5203203
2014,1,NA,0,0,0,0,-1,-1,-1,5203302
2014,1,S,1,3,0,4,25,75,0,5203401
2014,1,S,16,0,1,17,94.1176470588235,0,5.88235294117647,5203500
2014,1,S,3,0,3,6,50,0,50,5203559
2014,1,NA,0,0,0,0,-1,-1,-1,5203575
2014,1,N,2,2,0,4,50,50,0,5203609
2014,1,S,7,0,0,7,100,0,0,5203807
2014,1,N,15,2,5,22,68.1818181818182,9.09090909090909,22.7272727272727,5203906
2014,1,N,7,0,0,7,100,0,0,5203939
2014,1,N,1,0,1,2,50,0,50,5203962
2014,1,S,7,0,3,10,70,0,30,5204003
2014,1,N,13,1,1,15,86.6666666666667,6.66666666666667,6.66666666666667,5204102
2014,1,N,3,4,0,7,42.8571428571429,57.1428571428571,0,5204201
2014,1,S,12,2,0,14,85.7142857142857,14.2857142857143,0,5204250
2014,1,S,26,0,0,26,100,0,0,5204300
2014,1,N,21,2,1,24,87.5,8.33333333333333,4.16666666666667,5204409
2014,1,N,16,0,0,16,100,0,0,5204508
2014,1,N,7,1,0,8,87.5,12.5,0,5204557
2014,1,S,5,2,2,9,55.5555555555556,22.2222222222222,22.2222222222222,5204607
2014,1,S,4,7,2,13,30.7692307692308,53.8461538461538,15.3846153846154,5204656
2014,1,N,3,2,6,11,27.2727272727273,18.1818181818182,54.5454545454545,5204706
2014,1,N,11,0,0,11,100,0,0,5204805
2014,1,N,3,2,1,6,50,33.3333333333333,16.6666666666667,5204854
2014,1,NA,0,0,0,0,-1,-1,-1,5204904
2014,1,N,2,0,4,6,33.3333333333333,0,66.6666666666667,5204953
